Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-28-2019  3:56PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  schematic_module.ngd
output file: schematic_module_pad.csv
Part type:   xc9572xl
Speed grade: -5
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O,,,,,,,,,,
P2,TIE,,I/O,,,,,,,,,,
P3,TIE,,I/O,,,,,,,,,,
P4,D7S_D<2>,O,I/O,OUTPUT,,,,,,,,,
P5,TIE,,I/O/GCK1,,,,,,,,,,
P6,D7S_D<1>,O,I/O/GCK2,OUTPUT,,,,,,,,,
P7,CLK_LF,GCK,I/O/GCK3,,,,,,,,,,
P8,D7S_D<0>,O,I/O,OUTPUT,,,,,,,,,
P9,D7S_D<3>,O,I/O,OUTPUT,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,TIE,,I/O,,,,,,,,,,
P12,D7S_S<0>,O,I/O,OUTPUT,,,,,,,,,
P13,D7S_S<1>,O,I/O,OUTPUT,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,D7S_S<3>,O,I/O,OUTPUT,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,D7S_S<2>,O,I/O,OUTPUT,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,D7S_S<4>,O,I/O,OUTPUT,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,D7S_S<5>,O,I/O,OUTPUT,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,D7S_S<7>,O,I/O,OUTPUT,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,D7S_S<6>,O,I/O,OUTPUT,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,X<3>,I,I/O,INPUT,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,X<1>,I,I/O/GTS2,INPUT,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,X<0>,I,I/O/GTS1,INPUT,,,,,,,,,
P43,X<2>,I,I/O,INPUT,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


